observation_id,replicate,trial_seed,state,age,condition,first_action_delta_rms,first_action_delta_ee6_rms,first_action_delta_gripper_abs,gripper_sign_changed
rep_04_S12_age_10,4,42004,S12,10,fresh_hidden_fresh_ref,0.09347844444279686,0.10082598543560517,0.013124823570251465,0
rep_04_S12_age_11,4,42004,S12,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_04_S12_age_11,4,42004,S12,11,fresh_hidden_empty_ref,0.7617340731649771,0.18869474928731028,1.9616414904594421,1
rep_04_S12_age_11,4,42004,S12,11,stale_hidden_fresh_ref,0.09725468978273112,0.10491428235445027,0.012933790683746338,0
rep_04_S12_age_11,4,42004,S12,11,fresh_hidden_fresh_ref,0.08835993769540408,0.09528928977161676,0.013117074966430664,0
rep_05_S8_age_08,5,42005,S8,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_05_S8_age_08,5,42005,S8,8,fresh_hidden_empty_ref,0.04008976372718309,0.043206216904917945,0.007047057151794434,0
rep_05_S8_age_08,5,42005,S8,8,stale_hidden_fresh_ref,0.7620660338000029,0.14678710744020396,1.9839187860488892,1
rep_05_S8_age_08,5,42005,S8,8,fresh_hidden_fresh_ref,0.7610945209077218,0.14078372221992605,1.9839187860488892,1
rep_05_S8_age_09,5,42005,S8,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_05_S8_age_09,5,42005,S8,9,fresh_hidden_empty_ref,0.7493742066947894,0.09833542401964454,1.9679717421531677,1
rep_05_S8_age_09,5,42005,S8,9,stale_hidden_fresh_ref,0.7623724869541073,0.14891235329606042,1.9837926626205444,1
rep_05_S8_age_09,5,42005,S8,9,fresh_hidden_fresh_ref,0.761461136671907,0.1431271905760901,1.9838974475860596,1
rep_05_S8_age_10,5,42005,S8,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_05_S8_age_10,5,42005,S8,10,fresh_hidden_empty_ref,0.1264020106454645,0.13640670519543266,0.014196574687957764,0
rep_05_S8_age_10,5,42005,S8,10,stale_hidden_fresh_ref,0.7576461782340226,0.11793852705709418,1.9836171865463257,1
rep_05_S8_age_10,5,42005,S8,10,fresh_hidden_fresh_ref,0.7569014300674393,0.11334570963561309,1.9832334518432617,1
rep_05_S8_age_11,5,42005,S8,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_05_S8_age_11,5,42005,S8,11,fresh_hidden_empty_ref,0.16289237467415493,0.1756063119949832,0.026683688163757324,0
rep_05_S8_age_11,5,42005,S8,11,stale_hidden_fresh_ref,0.10110208081455706,0.10902999945184666,0.01503896713256836,0
rep_05_S8_age_11,5,42005,S8,11,fresh_hidden_fresh_ref,0.10767756679182712,0.11615432250809785,0.014499962329864502,0
rep_05_S12_age_08,5,42005,S12,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_05_S12_age_08,5,42005,S12,8,fresh_hidden_empty_ref,0.7477590028241287,0.10058438743288647,1.9629827737808228,1
rep_05_S12_age_08,5,42005,S12,8,stale_hidden_fresh_ref,0.11988126963815524,0.1293755082278099,0.013133883476257324,0
rep_05_S12_age_08,5,42005,S12,8,fresh_hidden_fresh_ref,0.11592497083675427,0.12509842335094154,0.013133883476257324,0
rep_05_S12_age_09,5,42005,S12,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_05_S12_age_09,5,42005,S12,9,fresh_hidden_empty_ref,0.7501067851719461,0.10849466707528575,1.9667218327522278,1
rep_05_S12_age_09,5,42005,S12,9,stale_hidden_fresh_ref,0.09202168878542832,0.09925027234087028,0.01312398910522461,0
rep_05_S12_age_09,5,42005,S12,9,fresh_hidden_fresh_ref,0.08468565739228497,0.0913139135854172,0.01312398910522461,0
rep_05_S12_age_10,5,42005,S12,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_05_S12_age_10,5,42005,S12,10,fresh_hidden_empty_ref,0.06131918715311611,0.0661887065085653,0.005884706974029541,0
rep_05_S12_age_10,5,42005,S12,10,stale_hidden_fresh_ref,0.14380952052723892,0.15524635920155855,0.012635469436645508,0
rep_05_S12_age_10,5,42005,S12,10,fresh_hidden_fresh_ref,0.13869316796661824,0.1497103200738332,0.013095200061798096,0
rep_05_S12_age_11,5,42005,S12,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_05_S12_age_11,5,42005,S12,11,fresh_hidden_empty_ref,0.7505727962810976,0.12121861777810791,1.9635052680969238,1
rep_05_S12_age_11,5,42005,S12,11,stale_hidden_fresh_ref,0.08860086899347965,0.09554984751359828,0.013120889663696289,0
rep_05_S12_age_11,5,42005,S12,11,fresh_hidden_fresh_ref,0.07943795542900159,0.08563623803194312,0.013089299201965332,0
rep_06_S8_age_08,6,42006,S8,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_06_S8_age_08,6,42006,S8,8,fresh_hidden_empty_ref,0.02599479135588139,0.028048945260960127,0.0031055212020874023,0
rep_06_S8_age_08,6,42006,S8,8,stale_hidden_fresh_ref,0.7608496012782976,0.13925783573773934,1.9839073419570923,1
rep_06_S8_age_08,6,42006,S8,8,fresh_hidden_fresh_ref,0.7597165701007811,0.13184367430699245,1.9839073419570923,1
rep_06_S8_age_09,6,42006,S8,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_06_S8_age_09,6,42006,S8,9,fresh_hidden_empty_ref,0.1502810064500162,0.16187788211295806,0.029393434524536133,0
rep_06_S8_age_09,6,42006,S8,9,stale_hidden_fresh_ref,0.11528883720475541,0.12439252201612407,0.014128506183624268,0
rep_06_S8_age_09,6,42006,S8,9,fresh_hidden_fresh_ref,0.117662480903504,0.12697174899108882,0.01342630386352539,0
rep_06_S8_age_10,6,42006,S8,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_06_S8_age_10,6,42006,S8,10,fresh_hidden_empty_ref,0.1328577427093177,0.14312860998042143,0.025366604328155518,0
