observation_id,replicate,trial_seed,state,age,effect,effect_rms,effect_ee6_rms,effect_gripper_abs
rep_01_S8_age_08,1,42001,S8,8,ref_effect_at_stale_hidden,0.764583314035647,0.16133973993585773,1.9839179515838623
rep_01_S8_age_08,1,42001,S8,8,ref_effect_at_fresh_hidden,0.10828322377166053,0.11685412961411655,0.012143731117248535
rep_01_S8_age_08,1,42001,S8,8,hidden_ref_interaction,0.7517809708613394,0.10671521333890159,1.9717742204666138
rep_01_S8_age_09,1,42001,S8,9,hidden_effect_at_empty_ref,0.14101586357270413,0.15202486350980474,0.022999167442321777
rep_01_S8_age_09,1,42001,S8,9,hidden_effect_at_fresh_ref,0.0209672722995847,0.022647239648948506,2.777576446533203e-05
rep_01_S8_age_09,1,42001,S8,9,ref_effect_at_stale_hidden,0.11826664411534234,0.1276046015063027,0.014539182186126709
rep_01_S8_age_09,1,42001,S8,9,ref_effect_at_fresh_hidden,0.24602572691818014,0.26529655261855156,0.037510573863983154
rep_01_S8_age_09,1,42001,S8,9,hidden_ref_interaction,0.14389631251058574,0.15514259915928505,0.022971391677856445
rep_01_S8_age_10,1,42001,S8,10,hidden_effect_at_empty_ref,0.11885682048244807,0.12813498167177031,0.019420742988586426
rep_01_S8_age_10,1,42001,S8,10,hidden_effect_at_fresh_ref,0.022828506933140875,0.024649249912057317,0.001572251319885254
rep_01_S8_age_10,1,42001,S8,10,ref_effect_at_stale_hidden,0.10225543104699991,0.11026269665410028,0.015685617923736572
rep_01_S8_age_10,1,42001,S8,10,ref_effect_at_fresh_hidden,0.2169832299520229,0.23396848721452837,0.033534109592437744
rep_01_S8_age_10,1,42001,S8,10,hidden_ref_interaction,0.13367919159599423,0.14420605350531235,0.017848491668701172
rep_01_S8_age_11,1,42001,S8,11,hidden_effect_at_empty_ref,0.20514005708939678,0.22109966726484592,0.035591065883636475
rep_01_S8_age_11,1,42001,S8,11,hidden_effect_at_fresh_ref,0.04226032681530753,0.045639753204714834,0.0019037127494812012
rep_01_S8_age_11,1,42001,S8,11,ref_effect_at_stale_hidden,0.1715653981000829,0.18520645245051576,0.015304267406463623
rep_01_S8_age_11,1,42001,S8,11,ref_effect_at_fresh_hidden,0.3781810112413129,0.40799223071878027,0.048991620540618896
rep_01_S8_age_11,1,42001,S8,11,hidden_ref_interaction,0.23445967095481524,0.2528716813486293,0.03368735313415527
rep_01_S12_age_08,1,42001,S12,8,hidden_effect_at_empty_ref,0.7464893602101014,0.08671657355115762,1.963569700717926
rep_01_S12_age_08,1,42001,S12,8,hidden_effect_at_fresh_ref,0.012494013600230135,0.013494986842992069,0.00012087821960449219
rep_01_S12_age_08,1,42001,S12,8,ref_effect_at_stale_hidden,0.12036757534281119,0.1299029094700392,0.013033688068389893
rep_01_S12_age_08,1,42001,S12,8,ref_effect_at_fresh_hidden,0.7628278231447988,0.16628549073643073,1.9767242670059204
rep_01_S12_age_08,1,42001,S12,8,hidden_ref_interaction,0.7455604338427569,0.07631277063788848,1.9636905789375305
